content,published_at,link,word_frequency,title
,2014-03-27,http://zz.wenming.cn/wmzz_xwzx/201111/t20111101_124408.html,,郑州市隆重举行“野生动物保护宣传月”活动
"　　,　　,　　,                                                 ,　                                             　, ",2014-03-27,http://zz.wenming.cn/wmzz_xwzx/201301/t20130122_496931.html,,2012年度郑州市“文明市民标兵”候选人公示
"    “绿色中国年度人物”评选始创于2005年，由中国环境文化节组委会主办（组委会由中宣部、全国人大环资委、全国政协人资环委、环境保护部、文化部、国家新闻出版广电总局、共青团中央、中国人民解放军环保绿化委员会等八部委联合组成），联合国环境规划署特别支持，中国环境文化促进会承办。此奖项旨在激励在评选年度内为我国环保事业做出突出贡献的社会各界人士，鼓励公众为推进生态文明，落实科学发展观，建设资源节约型、环境友好型社会而努力奋斗。,    “绿色中国年度人物”评选作为我国首个由政府颁发的环保人物大奖，现已成功举办六届，引起社会各界人士的广泛关注与参与，具有深远的社会影响力和品牌美誉度,并在2009年底国家对中央单位评比达标表彰活动进行清理中得以保留，是为数不多的被保留的环保人物政府奖项之一，充分体现了其重要的社会意义和品牌价值。,    2005年首届“绿色中国年度人物”评选活动，引起了媒体和社会的广泛关注。绿色中国年度人物评选成为彰显公众意志和公众精神的绿色平台，为推动我国环保政策的公众参与奠定了基础。,    “2006绿色中国年度人物”评选活动更加具有广泛性、针对性和宣传性。颁奖盛典成为当年环保公益文化的突出亮点。,    “2007绿色中国年度人物”评选活动，首次综合利用广播、电视、网络、楼宇、列车等现代化传媒手段引导公众参与；首次增设反面人物的提名，引起公众强烈关注。,    “2008绿色中国年度人物”评选活动突出两大亮点：一是巨大自然灾害中的环保英雄；二是绿色奥运中的环保典范。此次评选将评选工作与学习实践科学发展观活动有机结合，把评选工作与公众动员和绿色宣传紧密联系。,    “2009绿色中国年度人物”评选，是在国家清理规范评比达标表彰活动后的首次评选，更加强化政府奖项的严肃性、权威度和公信力；突出候选人事迹的时效特征与公众参与特征；同时，坚持以“生态文明”为指向，通过树立环保典范，激励公众参与，推动环保历史性转变，积极探索中国环保新道路。,    “2010-2011绿色中国年度人物”评选，是在国家清理规范评比达标表彰活动后的第二次评选，也是首次将评选由一年举办一次改为两年举办一次，更加强调候选人事迹的突出性和典型性；强化主办单位与特别支持单位的参与力度，通过各地环保宣教中心、高校团委等单位发动更广泛人群参与；同时，充分利用微博等新颖的宣传方式，加大宣传力度，扩大宣传规模，收到了令人满意的效果。,  ,    梁丛诫 自然之友创办人、会长,    梁丽明 山西省太原市环境保护局局长,    田桂荣 河南省新乡市环保志愿者协会创始人,    王灿发 中国政法大学教授,    赵永新 人民日报记者, ,    宾度•罗哈尼 亚洲开发银行地区与可持续发展局局长,    杜少中 北京市环境保护局副局长,    黄 鸣 皇明太阳能集团有限公司董事长,    马 军 北京公众与环境研究中心主任,    柯 蓝 香港凤凰卫视主持人,    廖晓义 北京地球村环境文化中心负责人,    许兆君 黑龙江省伊春市市长、林业管理局局长,    杨 欣 四川绿色江河环保促进会会长,    绿色GDP课题组,    ,    柴 静 中央电视台《新闻调查》栏目记者,    冯小宁 著名导演,    霍岱珊 河南省沈丘县“淮河卫士”会长,    廖秀冬 奥组委环境顾问、前任香港环境运输及工务局局长,    施正荣 江苏省无锡尚德太阳能电力有限公司董事长兼CEO,    汪永晨 北京“绿家园志愿者”负责人,    张晓健 清华大学环境科学与工程系博士生导师,    张艺谋 著名导演,    赵希海 吉林红石林业局退休工人,    国家环保总局环评司,  ,    郭承站 国防大学校务部副部长、党委副书记,    郝吉明 中国工程院院士、清华大学环境与工程系教授,    吕 植 北京“山水自然保护中心”主任,    马和励 前联合国系统驻华协调员兼联合国开发计划署驻华代表,    郄建荣 法制日报主任记者,    谭 晶 青年歌唱家,    唐孝炎 中国工程院院士、北京大学环境科学系教授,    向晓钧 四川省什邡市环保局核与辐射管理科副科长,    兼环境监测站分析室主任,    余小萱 原北京奥组委工程和环境部副部长,    凤凰卫视 《中国江河水》节目组,   ,    孙 君 北京绿十字生态文化传播中心召集人,    李 超 辽宁省沈阳市环境保护局党组书记、局长,    徐留平 中国长安汽车集团董事长、总裁、长安汽车董事长,    马 中 中国人民大学环境学院院长,    惠志军 中央电视台主任编辑、记者,    清华大学学生绿色协会,  ,    白岩松 中央电视台节目主持人,    葛玉修 生态环保摄影家,    陈光标 江苏黄埔再生资源利用有限公司董事长,    袁学顺 山东省威海市大天鹅保护协会会长,    韩 红 青年歌唱家,    吴选辉 北京市朝阳循环经济产业园管理中心主任,    潘家华 中国社科院城市发展与环境研究所所长、研究员,    何发理 陕西省环境保护厅厅长,    陈小平 中国光大国际有限公司行政总裁,    湖南经济电视台《湘江母亲河——东方莱茵河之梦》报道组",2014-03-27,http://news.xinhuanet.com/energy/2014-03/27/c_126281725.htm,,“绿色中国年度人物”评选背景资料
"　　2012.9.26 第一届呼吸意见领袖论坛,　　2012年9月26日，由绿盾所属的康纶纤维公司主办的，以""向PM2.5说不，让呼吸更健康""为主题的中国空气污染治理与防护意见领袖论坛在北京举办。该论坛以推进中国空气质量保护工作为第一要义。,2013.1.17绿盾为公益场所""陌妈之家""捐赠口罩,　　2013年1月17日，绿盾来到为贫困家庭的大病患儿来京救治提供免费临时住宿的公益场所""陌妈之家""，探望患儿家庭，送上绿盾PM2.5口罩，保护患儿的呼吸。,　　2013年1月21日，绿盾联合""自然之友""等环保组织将万余PM2.5口罩免费发放给室外工作者，包括环卫工人、交警、执勤士兵、交通协管等。,2013.4 绿盾深入雅安地震灾区为复课学生发放口罩,　　北京时间2013年4月20日8时02分四川省雅安市芦山县(北纬30.3,东经103.0)发生7.0级地震。看到新闻会，绿盾立即组织抗震救援小组深入灾区，并捐赠一批口罩以预防灾后疾病传播。,2013.6.5 世界环境日绿盾参加环保主题活动倡导健康呼吸,　　2013年6月5日世界环境日当天，由上海市闵行区环境保护局主持的环保主题活动在上海举行。绿盾口罩作为""呼吸保护""宣传品参与此次世界环境日公益活动，现场讲解PM2.5防护知识,2013.6.17-6.22 绿盾主办环青海湖公益骑行并为藏民送口罩,　　2013年6月17日到22日，绿盾口罩联合武汉追梦单车骑行驿站的17位骑友们完成了属于骑行人的梦想之旅，并在环青海湖骑行过程中，将绿盾口罩带给当地藏民。,2013.10.20 北京国际马拉松绿盾倡导""大爱益行者，公益一起跑""活动,　　2013年10月20日，第33届北京国际马拉松拉开帷幕。绿盾联手""大爱清尘""公益组织和腾讯""益行+""行动，组成由100名选手参加的北京马拉松公益方阵，并为100名马拉松公益跑选手的提供,2013.11.22 绿盾联合优酷土豆为打工子弟学校捐赠口罩,　　2013年11月22日，绿盾联合优酷土豆赴北京顺义李桥镇的清红蓝打工子弟学校，捐赠口罩及其他学习用品，呼吁公众对打工子弟的呼吸健康给予关注。,2013.12.1 绿盾志愿参与""后备箱淘宝""万人环保活动宣传环保理念,　　2013年月1日，滨江森林公园主办""后备箱淘宝""万人环保活动。绿盾志愿参与其中，宣传环保理念和呼吸健康防护重要性。,2014.1 绿盾为感染H7N9的浦东人民医院免费送口罩,　　1月20日，据上海卫计委通报，1月的前20天，上海新增7例人感染H7N9禽流感病例，其中2例死亡。在得知此新闻后，绿盾第一时间与医院取得联系，并获得浦东人民医院认可，捐赠4箱绿盾PM2.5口罩，此口罩能防H1N1类600多种病菌,2014.2.25 第二届呼吸意见领袖论坛,　　2月25日，由绿盾所属公司康纶纤维主导的第二届""中国空气污染治理与防护意见领袖论坛""在北京举行。该论坛就我国""空气污染治理与防护""，以及""如何规范PM2.5口罩市场""等内容进行探讨。,2014.2.25 第二届呼吸意见领袖论坛,　　2月25日，由绿盾所属公司康纶纤维主导的第二届""中国空气污染治理与防护意见领袖论坛""在北京举行。该论坛就我国""空气污染治理与防护""，以及""如何规范PM2.5口罩市场""等内容进行探讨,　　绿盾自2012年9月面世以来，不足两年的时间内，不断致力于各种公益活动，在自己的专业领域，尽可能地去帮助各个行业里有呼吸防护需要的 人，去倡导空气污染治理和健康呼吸理念。这样一个拥有如此强大社会责任感的民族企业，我想足以赢得我们每个人的尊重和信任，相信她能走得更远!央视不信 你，我们都信你!,免责声明：本文系转载自网络，发布本文为传递更多信息之用，其原创性以及文中陈述文字和内容未经本站证实，对本文以及其中全部或者部分内容、文字的真实性、完整性、及时性本站不作任何保证或承诺，请读者仅作参考，并请自行核实相关内容。,作 者：　　责任编辑： 邢玉伟,Copyright © 2000-2013 XINHUANET.com All Rights 
Reserved.,
本站所刊登的新华社及新华网各种新闻﹑信息和各种专题专栏资料，均为新华网版权所有，未经协议授权禁止下载使用。
, | 
京公网安备：110000000015号 | , | , | ,
",2014-03-26,http://www.he.xinhuanet.com/2014-03/26/c_119957601.htm,,细数那些热衷于公益事业的口罩品牌绿盾
"　　2012.9.26 第一届呼吸意见领袖论坛,　　2012年9月26日，由绿盾所属的康纶纤维公司主办的，以""向PM2.5说不，让呼吸更健康""为主题的中国空气污染治理与防护意见领袖论坛在北京举办。该论坛以推进中国空气质量保护工作为第一要义。,　　2013.1.17绿盾为公益场所""陌妈之家""捐赠口罩,　　2013年1月17日，绿盾来到为贫困家庭的大病患儿来京救治提供免费临时住宿的公益场所""陌妈之家""，探望患儿家庭，送上绿盾PM2.5口罩，保护患儿的呼吸。,　　2013年1月21日，绿盾联合""自然之友""等环保组织将万余PM2.5口罩免费发放给室外工作者，包括环卫工人、交警、执勤士兵、交通协管等。,　　2013.4 绿盾深入雅安地震灾区为复课学生发放口罩,　　北京时间2013年4月20日8时02分四川省雅安市芦山县(北纬30.3,东经103.0)发生7.0级地震。看到新闻会，绿盾立即组织抗震救援小组深入灾区，并捐赠一批口罩以预防灾后疾病传播。,　　2013.6.5 世界环境日绿盾参加环保主题活动倡导健康呼吸,　　2013年6月5日世界环境日当天，由上海市闵行区环境保护局主持的环保主题活动在上海举行。绿盾口罩作为""呼吸保护""宣传品参与此次世界环境日公益活动，现场讲解PM2.5防护知识,　　2013.6.17-6.22 绿盾主办环青海湖公益骑行并为藏民送口罩,　　2013年6月17日到22日，绿盾口罩联合武汉追梦单车骑行驿站的17位骑友们完成了属于骑行人的梦想之旅，并在环青海湖骑行过程中，将绿盾口罩带给当地藏民。,　　2013.10.20 北京国际马拉松绿盾倡导""大爱益行者，公益一起跑""活动,　　2013年10月20日，第33届北京国际马拉松拉开帷幕。绿盾联手""大爱清尘""公益组织和腾讯""益行+""行动，组成由100名选手参加的北京马拉松公益方阵，并为100名马拉松公益跑选手的提供,　　2013.11.22 绿盾联合优酷土豆为打工子弟学校捐赠口罩,　　2013年11月22日，绿盾联合优酷土豆赴北京顺义李桥镇的清红蓝打工子弟学校，捐赠口罩及其他学习用品，呼吁公众对打工子弟的呼吸健康给予关注。,　　2013.12.1 绿盾志愿参与""后备箱淘宝""万人环保活动宣传环保理念,　　2013年月1日，滨江森林公园主办""后备箱淘宝""万人环保活动。绿盾志愿参与其中，宣传环保理念和呼吸健康防护重要性。,　　2014.1 绿盾为感染H7N9的浦东人民医院免费送口罩,　　1月20日，据上海卫计委通报，1月的前20天，上海新增7例人感染H7N9禽流感病例，其中2例死亡。在得知此新闻后，绿盾第一时间与医院取得联系，并获得浦东人民医院认可，捐赠4箱绿盾PM2.5口罩，此口罩能防H1N1类600多种病菌,　　2014.2.25 第二届呼吸意见领袖论坛,　　2月25日，由绿盾所属公司康纶纤维主导的第二届""中国空气污染治理与防护意见领袖论坛""在北京举行。该论坛就我国""空气污染治理与防护""，以及""如何规范PM2.5口罩市场""等内容进行探讨。,　　2014.2.25 第二届呼吸意见领袖论坛,　　2月25日，由绿盾所属公司康纶纤维主导的第二届""中国空气污染治理与防护意见领袖论坛""在北京举行。该论坛就我国""空气污染治理与防护""，以及""如何规范PM2.5口罩市场""等内容进行探讨,　　绿盾自2012年9月面世以来，不足两年的时间内，不断致力于各种公益活动，在自己的专业领域，尽可能地去帮助各个行业里有呼吸防护需要的 人，去倡导空气污染治理和健康呼吸理念。这样一个拥有如此强大社会责任感的民族企业，我想足以赢得我们每个人的尊重和信任，相信她能走得更远!央视不信 你，我们都信你!,免责声明：本文系转载自网络，发布本文为传递更多信息之用，其原创性以及文中陈述文字和内容未经本站证实，对本文以及其中全部或者部分内容、文字的真实性、完整性、及时性本站不作任何保证或承诺，请读者仅作参考，并请自行核实相关内容。,作 者：　　责任编辑： 邢玉伟,Copyright © 2000-2013 XINHUANET.com All Rights 
Reserved.,
本站所刊登的新华社及新华网各种新闻﹑信息和各种专题专栏资料，均为新华网版权所有，未经协议授权禁止下载使用。
, | 
京公网安备：110000000015号 | , | , | ,
",2014-03-24,http://www.he.xinhuanet.com/2014-03/24/c_119916582.htm,,回顾最热衷于公益事业的口罩品牌绿盾
"　　今日发布的“2013年度全国省会及直辖市城市空气质量排名”显示，海口、福州、拉萨位居前三，石家庄排名垫底，北京则位列倒数第六位。,　　5月13日，民间环境保护组织“自然之友”在北京发布年度环境绿皮书——《中国环境发展报告(2014)》。该报告根据中国环境监测总站京津冀、长三角、珠三角区域及直辖市、省会城市和计划单列市空气质量报告，对2013年度全国省会及直辖市城市空气质量情况进行了排名。,　　在这份囊括31个城市的榜单中，海口排名第一，紧随其后的城市分别为福州、拉萨、昆明、贵阳。值得注意的是，这已是海口连续第六年在这个榜单中排名居首。,　　在此次排名靠后的城市中，石家庄取代兰州，排名垫底。去年排名倒数第二的北京名次有所上升，升至倒数第六位。紧随石家庄，此次排名后五位的城市依次为济南、西安、郑州、天津。,　　2013年1月1日起，各直辖市、省会城市、计划单列市和京津冀、长三角、珠三角区域内的地级以上城市共74个城市，开始执行新的《环境空气质量标准》(GB3095-2012)，并按《环境空气质量指数(AQI)技术规定(试行)》(HJ633-2012)发布环境空气质量指数(AQI)。,　　绿皮书指出，新标准实施一年之后，31座省会城市的空气质量排名发生了较大的变化，其中26座城市的排名较之2012年发生变化。,　　中新网记者注意到，兰州从2012年的第31名提升到2013年的第10名，提升21位，幅度最大；而西宁、成都、乌鲁木齐的排名也有5位以上的提升。在榜单的另一端，济南市从2012年的第18名滑落至2013年的第30名，降幅12位，而石家庄、呼和浩特、沈阳、郑州、太原、长春也有超过5位的降幅。,　　对此，绿皮书指出，考虑到2013年是新标准实施的第一年，部分排名的大幅变化与城市空气污染的主要因素不同有密切关系。另外，由于采取了较为有效的空气治理政策，也是部分城市空气质量好转、排名上升的关键因素。(白琥)",2014-05-13,http://news.xinhuanet.com/2014-05/13/c_126496369.htm,,省会和直辖市城市空气质量排名：北京倒数第六
This webpage is not available,2014-03-21,http://hyn.wenming.cn/first/201403/t20140321_1820671.html,,海口空气质量屡居全国之首 狠抓源头遏制污染
can not load page,2014-05-13,http://news.xinhuanet.com/yzyd/local/20140513/c_1110667425.htm,,省会和直辖市城市空气质量排名：北京倒数第六
"
,　　  “今年2月份以来，海口空气质量优良率一直保持100%。”海口市环保局局长陈超如此欣喜地介绍。,　　不仅如此，此前2011年世界卫生组织(WHO)发布首份全球城市空气污染调查报告，海口获中国空气最清洁的城市、2012年民间环保组织自然之友发布《2012年中国环境绿皮书》海口空气质量排名第一;2013年，环境保护部对外发布，海口市环境质量继续保持优良水平，在全国实施新环境空气质量标准的74个城市中排名第一。,　　而且，环境保护部有关负责人近日向媒体发布了今年2月份京津冀、长三角、珠三角区域及直辖市、省会城市和计划单列市等74个城市空气质量状况，海口空气质量为全国最好，空气质量达标天数为100%。这是权威部门又一次对海口一流空气质量的确认。,　　这一次“第一”是怎样取得的呢?,　　其实，这并不简单。这是近年来海口市紧紧围绕科学发展的主题、加快转变经济发展方式的主线和提高生态文明水平的要求，按照海口市委、市政府的重大决策和重要工作部署，切实落实各项工作任务，为建设“四宜三养”最精最美省会城市和海南“首善之城”提供坚实的环境支撑。,
,
,
,
, 
",2014-03-21,http://www.xinhuatrip.org/2014-03/21/c_119878544.htm,,海口空气质量缘何屡居全国之首
"    新华网北京５月１３日电（记者黄燕 王学涛）作为跨国公司中绝无仅有的专职环境副总裁，加入苹果即将一周年的莉萨·杰克逊在这次来华出席一个高级别环境圆桌会议前夕，还参加了一个越洋电话会议，就某个尚处于创想阶段的“新事物”的环境影响发表意见。,    “那个‘新事物’也许永远不会诞生，只是个创意而已，但人们已经在考虑它可能产生的环境影响了。这让我认识到苹果对环境是怎样真心投入的。”曾在美国环境保护署工作２５年的杰克逊说。,    化学工程师出身的杰克逊是前任美国环保署署长，去年６月出任苹果负责环境策略的副总裁。她说，苹果将立身之本——创新同样用于环境问题，着眼于可再生能源和提高能效，应对污染和气候变化；在全价值链中不断减少产品中的有害物质，并努力提高资源利用率。,    她说，中国是苹果发展最快的市场，公司对中国的消费者与合作伙伴负有环境责任。自去年起，苹果在中国区的所有产品，均不再使用含有聚氯乙烯（ＰＶＣ）的线缆，以确保无论在生产还是回收环节，都不必担心因加工ＰＶＣ产生的有害物。,    依靠创新，苹果在其庞大的数据中心实现了百分百使用可再生能源，这意味着全球消费者用苹果产品下载应用或苹果与用户的互动，都不会造成空气污染或产生碳排放。,    同时，苹果的产品能效自２００８年以来平均提高了５７％，为使用者节省了大量能源。她举例说，在中国如果每天为苹果手机充一次电，一年的电费是２到４元人民币。,    今年世界地球日前夕，苹果宣布免费回收其所有二手产品。消费者可将弃用或价值不大的旧品，交给苹果零售店，由苹果进行“有责任的循环利用”，以免它们流入垃圾填埋场，造成环境污染。,    此举在电子产品回收通常收费的欧美受到关注，但在二手市场供需两旺的中国，有些“水土不服”，环保意义尚待凸显。,    杰克逊未直接回应是否会针对中国市场推出特别回收政策，但她表示，中国政府制定了非常雄心勃勃的资源循环计划，苹果希望与其合作，帮助消费者理解可以用负责任的方式处理废旧品。,    她说，苹果在其所及的９５％的国家和地区均开展了回收项目。“我们希望消费者了解，如果你的苹果产品坏了或没价值了，苹果仍想要回它。因为我们对自己的产品负有责任，不希望它终老于垃圾填埋场。我们懂得如何处理它，不会污染环境。”,    苹果官网显示，近２０年，苹果回收了约１９．１万吨电子设备，９成多并非苹果产品。,    公众环境研究中心（ＩＰＥ）主任马军说：“回收体系在国外已有所建立，期待苹果在中国也能引领建立这样的系统。我们无法强制人们做选择，但希望提供更环保的选择，并通过信息传播，让更多人了解不这样做的话，最终人人都是受害者。”,    相较４年前公布苹果等多家公司在华供应商存在环境问题时的情形，马军说苹果的供应链环境管理曾有较大问题，经过整改，现已居领先地位。,    “作为ＩＴ业的翘楚，苹果的努力产生了积极的导向作用，有一批品牌公司随之转变。”马军说。,    马军说，以往因为企业造成污染，社区与之对立，出现过围堵厂房道路的情况，地方政府也感到很棘手，事情似乎成了一个“死结”。现在，有品牌的加入，用市场手段推动环保，“死结”变得有解了。,    ２０１２年１月，苹果发布供应商年度报告，提到对１４家供应商开展环保特别审核，并推动其整改，同时一改过去不透露供应商的态度，公布了百余家供应商的总公司名称。苹果官网挂有这份名单。,    “对于苹果而言，这是一个姿态，表明它愿意让自己的供应链接受更多社会监督。”马军说。,    与苹果“不打不成交”的马军，如今用“密切、深度”来形容与苹果的合作。他的“污染地图”——政府发布、媒体披露的环保数据库，也成为苹果对其供应商进行环保审核、选择新供应商时的重要参考依据。,    事实上，自然之友、绿色江南、南京绿石、环友科技等环保组织均参与过苹果供应链的调研、沟通与审核。,    这５家组织去年发布报告确认，“苹果大幅提升透明度并开展绿色采购，成功撬动一批材料供应商实质性改进了环境表现”，希望苹果能将其推广至更多供应商，建议更多品牌和材料供应商能加以借鉴，推动绿化高污染的ＩＴ材料生产过程。,    杰克逊说，苹果的供应链深入到多个领域，虽然公司并不从事开矿和冶炼，但会追溯至矿山，将这部分碳排放也纳入到苹果的碳足迹中，努力从各方面减少对环境的影响。,    这也是马军认为苹果“非常领先”的一点：其环境管理不限于一级供应商，而是延伸至印刷电路板等材料供应环节。因为真正的污染，多出自上游。,    “在这方面，苹果做得最突出，”他说。ＩＰＥ和自然资源保护协会正在做的一份整体评分显示，苹果已名列前茅。,    对这家全球市值最高、７年卖出逾１０亿部手机、电脑、音乐游戏播放器的公司来说，任何环保小举措，都有可能带来巨大的正面效应。,    “延揽杰克逊这位资深环保人士引领苹果的环保工作，本身也反映出苹果在环境方面的追求。”马军说。",2014-05-13,http://news.xinhuanet.com/2014-05/13/c_1110666640.htm,,环保苹果策 马军为何点赞
