content,published_at,link,word_frequency,title
This webpage is not available,2012-11-13,http://www.efu.com.cn/data/2012/2012-11-06/478388.shtml,,中国服装“御寒”
This webpage is not available,2012-11-12,http://www.cs.com.cn/xwzx/cj/201204/t20120412_3313831.html,,48家名企供应链存污染 印染生产工艺仍处80...
This webpage is not available,2012-11-12,http://sxbj.wenming.cn/tszs/201206/t20120615_251642.html,,“绿色名片”彰显海口魅力
This webpage is not available,2012-11-12,http://finance.qq.com/a/20121112/003345.htm,,明争环保法修订 12位环境法专家联名表示失望
"<p id=""i1_text"" style=""display:none; "">订阅大洋新闻</p>,<p id=""i2_text"" style=""display:none; "">增加字体大小</p>,<p id=""i3_text"" style=""display:none; "">减小字体大小</p>,<p id=""i4_text"" style=""display:none; "">打印此页面</p>,<p id=""i5_text"" style=""display:none; "">使用默认字体大小</p>,<p>　　10月28日，新生代民间环保组织未来绿色青年领袖协会(以下简称绿领)在北京举办了以“传递绿色正能量”为主题的文化沙龙活动。这一天，是绿领创办两周年的日子。公益界，媒体界，教育界等相关嘉宾代表与绿领一同见证这一历史时刻，E12公益项目给予了全力支持。</p>,<p>　　沙龙活动伊始，到场嘉宾观赏了绿领两周年纪念短片。公益时报新闻部副主任刘丽波女士随后给予活动致辞，她表示，很欣慰看到绿领两年来做的这些有意义的工作，绿领人一直在基层为守护河流和蓝天勇敢的坚守，深信这样一个充满活力与责任感的团队可以在未来继续快乐前行。　　</p>,<p align=""center""><img height=""600"" id=""8975921"" md5="""" src=""http://img4.dayoo.com/society/site1/20121109/9d9a57b1a533471c243ffb4a85dae2b2.jpg"" width=""462""></p>,<p align=""center"">公益时报新闻部副主任刘丽波女士致辞</p>,<p>　　环境危机激发青年觉醒</p>,<p>　　“2010年的暑假，一群青年相聚在北京，但我们谈论更多的是环保话题。水污染，空气污染，土壤污染，重金属污染，环境危机让大家按耐不住，决定一起做点事情，于是绿领就在这一年创立了，时间是10月28日。”绿领创始人赵亮结合两年来的经历有感而发，“感觉像是在创业，你不清楚有多复杂与艰难。做公益创业比商业创业更艰辛，但同时也更有挑战，更有快感，而这种快感是做商业无法体会到的。”</p>,<p align=""center""><img height=""464"" id=""8975930"" md5="""" src=""http://img4.dayoo.com/society/attachement/jpg/site1/20121110/001372af609512076fb222.jpg"" style=""BORDER-RIGHT: #000000 0px solid; BORDER-TOP: #000000 0px solid; BORDER-LEFT: #000000 0px solid; BORDER-BOTTOM: #000000 0px solid"" width=""550""></p>,<p align=""center"">理事长赵亮分享绿领创立的故事</p>,<p>　　“绿领最初的项目是在从科尔沁开始的，这个项目看起来似乎有点务虚，但却培养输送了一批有担当的绿领青年;直到11年的12月，与北京的达尔问自然求知社联合开展永定新河水污染调查，绿领才算正式上路;后来又与公众环境研究中心合作开展天津蓝天行动(重点污染源定位)，7月底持续跟踪调查天津历史遗留铬渣无害化处置。”谈及未来，赵亮表示，立足本土环境关切，扎根一线推动污染防治，绿领过去是这样做的，未来还将继续走下去，行动改变未来!</p>,<p>　　从参与绿领组织的中国未来绿领训练营到坚定投身青年环保力量;从关注一条志愿者招募信息到成为资深志愿者，参与徒步拍摄排污口，毕业后毅然投身NGO领域工作;从一次青年论坛相约到毕业后从福建北上进入公益领域，见证绿领一路艰辛与快乐……绿领训练营营员代表何帅霖、绿领会员代表田蕾和副理事长王筱迪分别在沙龙团队展示环节做了心路分享。绿领团队的集体亮相环节，即兴演绎了舞蹈“江南style”和歌曲 “贵妃醉酒”，与科普教师互动实验等尽显新生环保团队的朝气与活力。</p>,<p align=""center""><img height=""364"" id=""8975931"" md5="""" src=""http://img4.dayoo.com/society/attachement/jpg/site1/20121110/001372af609512076fb92c.jpg"" style=""BORDER-RIGHT: #000000 0px solid; BORDER-TOP: #000000 0px solid; BORDER-LEFT: #000000 0px solid; BORDER-BOTTOM: #000000 0px solid"" width=""550""></p>,<p align=""center"">绿领团队亮相</p>,<p>　　公众推动污染企业履行环境</p>,<p>　　在“如何推动污染企业履行环境责任”话题探讨环节，绿领秘书长董剑分享了内蒙某化工企业污染调查案例，“今年暑假，绿领志愿者了解到滦河上游的某化工企业排污的信息后随即展开了实地调查。感官告诉我们存在污染，而现场采集的水样经检测后居然达标，问题出在哪呢 查询相关资料后咨询专家后，我们发现相关标准是滞后和不完善的。”</p>,<p align=""center""><img height=""319"" id=""8975932"" md5="""" src=""http://img4.dayoo.com/society/attachement/jpg/site1/20121110/001372af609512076fc836.jpg"" style=""BORDER-RIGHT: #000000 0px solid; BORDER-TOP: #000000 0px solid; BORDER-LEFT: #000000 0px solid; BORDER-BOTTOM: #000000 0px solid"" width=""550""></p>,<p align=""center"">秘书长董剑案例分享</p>,<p>　　随后，公众环境研究中心主任马军、中国政法大学污染受害者法律帮助中心律师胡少波和自然之友前任总干事李波等嘉宾分别对案例作了精彩的点评。</p>,<p>　　马军：“绿领的这个案例通过实地调研，专业检测和数据分析，最后与企业开展良性互动，是个很有意义的探索。环境危机事件进入多发期，考验着政府和公众的智慧。应对环保问题，需要企业遵守环保法律;同时需要信息公开和公众参与。环保组织要从末端监管向前端环评转移，有环保组织早期的介入是有必要的，环保组织的专业性介入是有必要的。环保组织未来可以在专业性上多做工作，引领企业走可持续发展的轨迹。“</p>,<p align=""center""><img height=""600"" id=""8975925"" md5="""" src=""http://img4.dayoo.com/society/site1/20121109/75f67d29fbb9ac87fac6239dcafea136.jpg"" width=""500""></p>,<p align=""center"">公众环境研究中心主任马军做点评</p>,<p>　　胡少波：“ 如何推动企业履行环境责任 环境责任是一个社会责任。要推动需要从两方面来做，一方面要加强政府职能部门的监管力度;同时离不开企业的自律加强。由于缺位，NGO要承担被转移的责任。尽管很多环保组织在积极推动，然而由于很多没有合法地位，推动起来难度就很大。只有政府监管到位，公众监督到位，企业自律到位，也就是政府、企业和社会公众需要形成合力。”</p>,<p align=""center""><img height=""600"" id=""8975926"" md5="""" src=""http://img4.dayoo.com/society/site1/20121109/d74dacfef5bf2c4eea9d37188baaf7e9.jpg"" width=""420""></p>,<p align=""center"">污染受害者法律帮助中心胡少波律师做点评</p>,<p>　　李波：“环保组织的新人和这个国家的体量相比是远远不够的。最近三年来，由于全球经济惨淡，中国沿海很多企业开始关停转产。有一个奇怪的现象就是，西部招商引资的步伐在加快。西部新一轮的大跃进式的开发实际上隐藏着巨大的生态环境危机。我们要多关注这一趋势，关注西部地区的生态环境保护。</p>,<p align=""center""><img height=""600"" id=""8975927"" md5="""" src=""http://img4.dayoo.com/society/site1/20121109/e212ffed1fb4df1ac02368e9d409fda5.jpg"" width=""386""></p>,<p align=""center"">自然之友前任总干事李波在沙龙现场点评</p>,<p align=""center""><img height=""364"" id=""8975933"" md5="""" src=""http://img4.dayoo.com/society/attachement/jpg/site1/20121110/001372af609512076fdf40.jpg"" style=""BORDER-RIGHT: #000000 0px solid; BORDER-TOP: #000000 0px solid; BORDER-LEFT: #000000 0px solid; BORDER-BOTTOM: #000000 0px solid"" width=""550""></p>,<p align=""center"">公益沙龙活动现场　</p>,<p align=""center""><img height=""364"" id=""8975934"" md5="""" src=""http://img4.dayoo.com/society/attachement/jpg/site1/20121110/001372af609512076fe64a.jpg"" style=""BORDER-RIGHT: #000000 0px solid; BORDER-TOP: #000000 0px solid; BORDER-LEFT: #000000 0px solid; BORDER-BOTTOM: #000000 0px solid"" width=""550""></p>,<p align=""center"">绿领两周岁全家福</p>,<p>　　诚如新浪网友感言：“绿领以微博为平台持续关注水体保护等重大环境事件，积跬步以行千里，积溪流以成江河必将功德无量。”两年时间，从觉醒到担当，这是天津绿领发展的轨迹。然而面对日趋严峻的环境危机，绿领能否坚守一个民间环保组织的独立人格，继续脚踏实地，推动环境责任担当，还有很长的一段路要走。”让每一步都变得掷地有声”是绿领的期待，更是公众的期待。</p>,<p class=""editor"">(编辑： 林盛伟)</p>,<p>　　10月28日，新生代民间环保组织未来绿色青年领袖协会(以下简称绿领)在北京举办了以“传递绿</p>,<p>更多精彩内容尽在广州日报大洋网(<a href=""http://www.dayoo.com/"">www.dayoo.com</a>)</p>,<p class=""p1"" onclick=""VC_Vote('vote_default')""><span id=""vote_default"" class=""num"">0</span> <span class=""word"">顶一下</span></p>,<p class=""p3"" onclick=""window.scrollTo(0,0)""><span>返回页顶</span></p>,<p><a href=""http://news.dayoo.com/photo/201403/26/54034_35652605.htm"" target=""_blank"" atremote=""atremote"">爆笑不止的囧照</a></p>,<p><a href=""http://news.dayoo.com/society/201404/22/53921_36097251.htm"" target=""_blank"" atremote=""atremote"">想模仿""翻跟头亲亲"" 摔惨了！</a></p>,<p><a href=""http://news.dayoo.com/photo/201403/26/54034_35652509.htm"" target=""_blank"" atremote=""atremote"">让你笑得不能自理</a></p>,<p><a href=""http://news.dayoo.com/photo/201403/26/54034_35651824.htm"" target=""_blank"" atremote=""atremote"">悲催瞬间不忍直视</a></p>,<p><a href=""http://news.dayoo.com/society/201404/24/53921_36131127.htm"" target=""_blank"" atremote=""atremote"">熊猫闹脾气 看了电视才卖萌</a></p>,<p><a href=""http://news.dayoo.com/photo/201404/25/54034_25488702.htm"" target=""_blank"" atremote=""atremote"">真实的清朝这样子</a></p>,<p class=""h2""><span>赞助商链接</span></p>,<p><a href=""http://news.dayoo.com/society/201409/28/53921_38268758.htm"" target=""_blank"" atremote=""atremote"">F罩杯爆乳少女校园举牌反援交反嫖娼</a></p>,<p><a href=""http://news.dayoo.com/ent/201409/27/53922_38257392.htm"" target=""_blank"" atremote=""atremote"">盘点嫁给“渣男”的好身材人妻</a></p>,<p><a href=""http://news.dayoo.com/photo/201406/13/54034_36874975.htm"" target=""_blank"" atremote=""atremote"">明星大尺度舞台照</a></p>,<p><a href=""http://news.dayoo.com/photo/201404/21/54034_36085498.htm"" target=""_blank"" atremote=""atremote"">盘点十国绝色王妃</a></p>,<p><a href=""http://news.dayoo.com/photo/201404/08/54034_35876878.htm"" target=""_blank"" atremote=""atremote"">辛芷蕾性感红唇秀</a></p>,<p><a href=""http://news.dayoo.com/photo/201404/08/54034_35876825.htm"" target=""_blank"" atremote=""atremote"">菲比·变性感兔女郎</a></p>,<p><a href=""http://www.gzamass.cn/zt/xtds.html"" target=""_blank"" atremote=""atremote"">冬季减肥最佳时节</a></p>,<p><a href=""http://www.gzamass.cn/zt/fsfx.html"" target=""_blank"" atremote=""atremote"">可以哺乳的绿色丰胸</a></p>,<p><a href=""http://news.dayoo.com/photo/201403/26/54034_35652605.htm"" target=""_blank"" atremote=""atremote"">爆笑不止的囧照</a></p>,<p><a href=""http://news.dayoo.com/ent/201404/11/53922_35922682.htm"" target=""_blank"" atremote=""atremote"">刺青女神纹身吸睛</a></p>,<p><a href=""http://news.dayoo.com/photo/201403/28/54034_35702848.htm"" target=""_blank"" atremote=""atremote"">张辛苑COS扮性感冰女</a></p>,<p><a href=""http://news.dayoo.com/ent/201404/25/53922_36147173.htm"" target=""_blank"" atremote=""atremote"">吴孟达传死讯后现身 暴瘦20斤</a></p>,<p><a href=""http://news.dayoo.com/ent/201404/24/53922_36131982.htm"" target=""_blank"" atremote=""atremote"">章子怡拿奖到手软 众女星争艳</a></p>,<p><a href=""http://news.dayoo.com/ent/201404/24/53922_36131866.htm"" target=""_blank"" atremote=""atremote"">65岁潘迎紫皮肤粉嫩惊呆网友</a></p>,<p><a href=""http://news.dayoo.com/news/201404/23/128198_36113936.htm"" target=""_blank"" atremote=""atremote"">吴尊3岁女儿正面照首度曝光</a></p>,<p><a href=""http://news.dayoo.com/ent/201404/22/53922_36101109.htm"" target=""_blank"" atremote=""atremote"">林更新周冬雨喝起交杯酒</a></p>,<p><a href=""http://news.dayoo.com/v/136397/index.shtml"" target=""_blank"" atremote=""atremote"">文画双全刘斯奋</a></p>,<p><a href=""http://news.dayoo.com/v/136106/index.shtml"" target=""_blank"" atremote=""atremote"">黑白方土</a></p>,<p><a href=""../v/136362/index.shtml"" target=""_blank"">经济学家李江帆</a></p>,<p><a href=""../v/136363/index.shtml"" target=""_blank"">书法家卢有光</a></p>,<p><a href=""../v/135058/index.shtml"" target=""_blank"">塱头村</a></p>,<p><a href=""../v/135053/index.shtml"" target=""_blank"">钟楼村</a></p>,<p><a href=""http://v.dayoo.com/afterMediaFileAction.do?method=getPlayMedia&amp;fileId=61007"" target=""_blank"">粤语讲古</a></p>,<p><a href=""http://bookcity.dayoo.com/index.php?command=product:product-&gt;details&amp;productId=2226856"" target=""_blank"">后宫•甄嬛传</a></p>,<p><a href=""http://bookcity.dayoo.com/index.php?command=product:product-&gt;details&amp;productId=2224985"" target=""_blank"">理想丰满</a></p>,<p><a href=""http://bookcity.dayoo.com/index.php?command=product:product-&gt;details&amp;productId=2224939"" target=""_blank"">侯卫东官场笔记8</a></p>,<p id=""footer_lxl""><a target=""_blank"" href=""http://news.dayoo.com/about/201107/21/107026_18101714.htm"">关于大洋网</a>|<a target=""_blank"" href=""http://news.dayoo.com/about/108469.shtml"">广告营销中心</a>|<a target=""_blank"" href=""http://news.dayoo.com/about/201110/10/110555_19759160.htm"">版权声明</a>|<a target=""_blank"" href=""http://news.dayoo.com/about/110554.shtml"">法律顾问</a>|<a target=""_blank"" href=""http://news.dayoo.com/about/201107/13/107028_17928523.htm"">联系我们</a>|<a target=""_blank"" href=""http://news.dayoo.com/about/107433.shtml"">招聘信息</a>
	</p>,<p id=""footer_p1"">
		<span>版权所有(C)</span>
		<span>1999-2014</span>
		<span>广州市交互式信息网络有限公司(<a target=""_blank"" href=""http://www.dayoo.com/"">大洋网</a>)</span>	
		<span>粤传媒(002181)成员企业</span>
	</p>,<p id=""footer_p1"">
		<span><a target=""_blank"" href=""http://www.dayoo.com/about/zhengshu/zzdxxkz/icp-page.htm"">增值电信业务经营许可证：粤B2-20040381</a></span>
		<span><a target=""_blank"" href=""http://www.dayoo.com/about/zhengshu/hlwxwxkz/xinxifuwu.htm"">互联网新闻信息服务许可证：4412006003</a></span>
	</p>,<p id=""footer_p1"">
		<span><a target=""_blank"" href=""http://www.dayoo.com/about/zhengshu/hlwcbxkz/chuban.htm"">互联网出版许可证：新出网证(粤)字011号</a></span>
		<span><a target=""_blank"" href=""http://www.dayoo.com/about/zhengshu/stxkz/shiting.htm"">信息网络传播视听节目许可证：1906152</a></span>
	</p>,<p id=""footer_img"">		
		<span style=""width:46px;height:47px;margin:0 50px;"">
			<a href=""http://netadreg.gzaic.gov.cn/ntmm/WebSear/WebLogoPub.aspx?logo=440100100012003042900284""><img alt="""" src=""http://netadreg.gzaic.gov.cn/ntmm/default/images/logo_down.jpg"" style=""width:46px;height:47px""></a>
		</span>

		<script src=""http://kxlogo.knet.cn/seallogo.dll?sn=e13060444010041057nlvy000000&amp;size=0""></script>
		</p>",2012-11-11,http://news.dayoo.com/society/201211/10/53921_27222996.htm,,从觉醒到担当 环保组织天津绿领创立两周年
This webpage is not available,2012-11-11,http://sports.gmw.cn/2012-11/08/content_5620324.htm,,2012北京现代 北京马拉松赛开始报名
This webpage is not available,2012-11-10,http://www.taihainet.com/news/cjews/2012-10-13/961173.html,,归真堂活熊取胆风波未平 律师举报特许经营违规
This webpage is not available,2012-11-09,http://miit.ccidnet.com/art/32559/20121109/4450487_1.html,,环保组织倡议游客登山不乱丢垃圾 维护香山美丽
This webpage is not available,2012-11-09,http://news.xinhuanet.com/local/2012-11/09/c_113651269.htm,,2012北京现代北京马拉松赛开始报名
This webpage is not available,2012-11-09,http://news.xinhuanet.com/local/2012-11/09/c_113651269.htm,,2012北京现代 北京马拉松赛开始报名
